name,contentId,contentType,thumb,category,description,caption,views
Paul McCartney,5Pf19jV1NYw,youtube,wired.jpg,SOCIAL,Paul McCartney Answers the Web's Most Searched Questions | WIRED,Sound Mixer,"11,235,661"
Late Late Show,aVpzCrIt9Kg,youtube,late.jpg,TV & FILM,Harry Styles Makes 'Daylight' Music Video for $300 w/ James Corden,Boom Op & Playback,"9,138,133"
John Mayer,GP6ioc2Rx1k,youtube,johnmayer.png,MUSIC,John Mayer - World Tour 2019,Sound Mixer,"538,685"
Jubilee,dj-pWmsOIyQ,youtube,jubilee.jpg,SOCIAL,"Recipe for Change: Standing Up to Antisemitism with Idina Menzel, Ilana Glazer & Moshe Kasher",Audio Supervisor,"943,774"
Kendrick Lamar,Xhppc0wrw4Y,youtube,kendrick.jpg,MUSIC,Louder Together: Kendrick Lamar on the Responsibility of Celebs and the Importance of Positivity,Sound Mixer,"6,868"
Sam Smith,xeugznpGKPA,youtube,sam.jpg,MUSIC,Sam Smith - Like I Can (Official Video),Playback Engineer,"137,065,279"
Pentatonix,yO9snUMvRuU,youtube,pentatonix.jpg,MUSIC,"TOP POP, VOL. I MEDLEY - Pentatonix",Audio Engineer,"6,516,049"
They Call Me Magic,7sgS3SssDX4,youtube,magic.jpg,TV & FILM,They Call Me Magic — Official Trailer | Apple TV+,Sound Mixer,"3,345,121"
Samsung,wYe3o_k7G1o,youtube,kloss.jpg,COMMERCIAL,Create with Gear 360: Casey Neistat x Karlie Kloss,Sound Mixer,"491,351"
Nas,HOJgralVcrs,youtube,nas.jpg,MUSIC,Celebrating history's BLACK MUSICIAN with NAS | Google Arts & Culture,Sound Mixer,"29,649"
KITH,720212116,vimeo,kith.jpg,COMMERCIAL,"Ronnie Fieg for New Balance 990 Anniversary Collection featuring Steve, Luca & Ruby Nash",Sound Mixer,922
Lizzo,qemJ8b4Mofc,youtube,lizzo.jpg,SOCIAL,Lizzo Tries 9 Things She's Never Done Before | Allure,Sound Mixer,"6,918,357"
Slow Machine,x6l6mSbVFMI,youtube,slow.jpg,TV & FILM,Slow Machine | Official Trailer,Sound Mixer,"30,314"
NYC Tips & Tricks,673993283,vimeo,nyc.jpg,TV & FILM,NYC Tips and Tricks,Sound Mixer,58302
Streamer Stalker,_GaK3v5FvJI,youtube,streamer.jpg,TV & FILM,A Famous Twitch Streamer Gets Stalked By One Of His Superfans - Award Winning Short Film,Sound Mixer,667
Ryuichi Sakamoto: Coda,Fl-pKw5n0mI,youtube,ryuichi.jpg,TV & FILM,RYUICHI SAKAMOTO: CODA | Official Trailer | MUBI,Sound Mixer,"254,329"
FX,rK8tJcNpi94,youtube,theweekly.jpg,TV & FILM,The Weekly | Season 1 Ep. 23: The Gallagher Effect Highlight | FX,Sound Mixer,"18,938"
CNN,RshzF95TyhY,youtube,cnn+.jpg,TV & FILM,Andrew Yang | No Mercy No Malice with Scott Galloway | Clip | CNN+,Sound Mixer,876
Al Jazeera,3Sh2YAj48e0,youtube,aljazeera.jpg,TV & FILM,US: Police Brutality and Black Lives Matter | Generation Change,Sound Mixer,"12,910"
Showtime,mk8kt15bX3Y,youtube,showtime.jpg,TV & FILM,Mark McKinnon Visits The Daily Caller | THE CIRCUS | SHOWTIME,Sound Mixer,"19,858"
NCT 127,WCE_cBL-Ndo,youtube,nct127.jpg,SOCIAL,NCT 127 Tries 9 Things They've Never Done Before | Allure,Sound Mixer,"2,173,837"
David Beckham,275773497,vimeo,lifetime.jpg,COMMERCIAL,PASS THE BALL - All Star Spot,Sound Mixer,247
ESPN,liTHLjkAWAI,youtube,espn.jpg,TV & FILM,Mike Tomlin joins the search to rescue trafficked children | NFL Countdown | ESPN,Sound Mixer,"12,699"
TaylorMade,723572830,vimeo,taylor.jpg,COMMERCIAL,Kith for TaylorMade,Sound Mixer,200002
Niall Horan,pflmIVb5Mbg,youtube,niallhoran.jpg,SOCIAL,Niall Horan Answers the Web's Most Searched Questions | WIRED,Sound Mixer,"5,531,119"
Casper,xSh7DmEmJ10,youtube,casper.jpg,COMMERCIAL,The Sandman Has a New Gig | Casper,Sound Mixer,"1,504,133"
CNN Travel,vWz1rzsWUBQ,youtube,cnn.png,TV & FILM,The chefs that run New York City,Sound Mixer,"31,976"
Nike,498408750,vimeo,nike.jpg,COMMERCIAL,Nike | Rose Classic,Sound Mixer,442
Desi Me Dating,iJ_y_pEe5S8,youtube,desi.jpg,SOCIAL,DESI ME DATING | Official Trailer | South Asian Dating Show | Not Indian Matchmaking,Sound Mixer,"73,646"
Adidas,bfwUj4FVLHQ,youtube,adidas.jpg,COMMERCIAL,adidas by Stella McCartney AW20 Campaign,Sound Mixer,"8,389"
HBO,oWwKJ1CjC_A,youtube,hbo.jpg,COMMERCIAL,BTS: Unfiltered w/ Katja Blichfeld & Ben Sinclair | High Maintenance | Season 3,Sound Mixer,"13,605"
Ashley Graham,a5pMUVKGZZ0,youtube,ashley.jpg,SOCIAL,Ashley Graham Tries 9 Things She's Never Done Before | Allure,Sound Mixer,"490,192"
Acorns,piwobB7ps5Y,youtube,acorns.jpg,COMMERCIAL,$5 A Day Can Really Add Up,Sound Mixer,"1,186,488"
Nick Kroll,G3gi9JUQG9w,youtube,nickkroll.jpg,SOCIAL,Nick Kroll Improvises 7 New Cartoon Voices | Vanity Fair,Sound Mixer,"1,954,704"
Karlie Kloss,zUg5vtzXpNQ,youtube,kloss1.jpg,SOCIAL,Epic NYC Holiday Tour with the Fam | Karlie Kloss,Sound Mixer,"161,279"
Wired,sYSXyxEh8Sc,youtube,wired-2.png,SOCIAL,Nikolaj Coster-Waldau Answers the Web's Most Searched Questions | WIRED,Sound Mixer,"6,502,598"
Allure Work It,N6MX6m9lDbg,youtube,workit.jpg,SOCIAL,"A Flight Attendant's Entire Routine, From Waking Up to Layovers | Work It | Allure",Sound Mixer,"7,852,176"
VH1,_V7R4b7BNbA,youtube,vh1.jpg,TV & FILM,Black Ink Crew | Official Season 4 Super Trailer | Premieres April 4th + 9/8C,Sound Mixer,"374,977"
All My Exes,XfRLN516T2k,youtube,exes.jpg,SOCIAL,3 Ex-Boyfriends Describe Their Relationship With the Same Woman - Isabella | Glamour,Sound Mixer,"4,890,641"
Fuse,qmBmQjvipQk,youtube,fuse.jpg,TV & FILM,A$AP Ferg On Working At Victoria's Secret & His Painting Side Hustle | What's Ur Thing | Fuse,Sound Mixer,"250,900"
Lilly Singh,wEdu2D0W13U,youtube,lillysingh.jpg,SOCIAL,Lilly Singh Answers the Web's Most Searched Questions | WIRED,Sound Mixer,"2,765,990"
VICE,c1sWR_vIrZo,youtube,viceland.jpg,TV & FILM,The White House Preacher: HATE THY NEIGHBOR (Preview),Sound Mixer,"12,946"
Spotify,305640279,vimeo,edsheeran.png,COMMERCIAL,Ginger Ed Man,Sound Mixer,124
Sarah Paulson,DIabKFjzajs,youtube,sarah.jpg,SOCIAL,Sarah Paulson Breaks Down Her Most Iconic Characters | GQ,Sound Mixer,"2,727,748"
Vanity Fair,LZJy2cBlho8,youtube,vanityfair.png,SOCIAL,Choreographers Break Down a Mary Poppins Dance Scene | Movies in Motion | Vanity Fair,Sound Mixer,"254,819"
Fine Points,fqbEyyijRQ0,youtube,finepoints.jpg,SOCIAL,Jewelry Expert Critiques More Rappers' Chains | Fine Points | GQ,Sound Mixer,"1,843,031"
Freddie Highmore,1mI3vkuIEj8,youtube,freddie.jpg,SOCIAL,Freddie Highmore Answers the Web's Most Searched Questions | WIRED,Sound Mixer,"13,511,394"
Tidal,lnn7fHDtRPw,youtube,tidal.png,MUSIC,"1,061",Sound Mixer,"1,063"
United,cyQ2impmcf4,youtube,united.jpg,TV & FILM,United Airline's Big Metal Bird- Newark Episode,Sound Mixer,"1,449"
Alan Taylor,w-GPtxnpxjM,youtube,alantaylor.jpg,SOCIAL,Game of Thrones’ Director Breaks Down Ned Stark’s Final Scene | Vanity Fair,Sound Mixer,"1,123,847"
L'Oreal,sitVNGixBn0,youtube,loreal.jpg,COMMERCIAL,L'Oréal Paris Revitalift Challenge,Sound Mixer,"12,208"
Iris,lu0TKnNiujg,youtube,iris.jpg,SOCIAL,Why Did You Cheat? Couple Confronts Each Other On Infidelity | Iris,Sound Mixer,"2,102,879"
Glam Seamless,dWZi_1tbMpE,youtube,glam.jpg,COMMERCIAL,ANATOMY OF PERFECT HAIR: Hint-Use Hair Extensions for a discreet look!,Sound Mixer,"69,187"
First Date,3QHXzQqVlK8,youtube,firstdate.jpg,SOCIAL,Interviewed Before and After Our First Date - Sarah & Daniel | Glamour,Sound Mixer,"973,727"
SYFY,qdWAZoovdjU,youtube,syfy.jpg,TV & FILM,Let's Play POGS - Gaming Throwback Episode 3 | SYFY WIRE,Sound Mixer,"8,455"
Glamour,CQ2z4xj67Z0,youtube,glamour.jpg,SOCIAL,Women Sizes 0 Through 28 Try on the Same Sports Bra | Glamour,Sound Mixer,"774,940"
Eddie Redmayne,9ZK8zhcE09k,youtube,eddie.jpg,SOCIAL,Eddie Redmayne Replies to Fans on the Internet | Actually Me | GQ,Sound Mixer,"926,993"
them.,hGf0dpvU0SM,youtube,them.jpg,SOCIAL,Christine and The Queens Gets a Drag Makeover from Milk | them.,Sound Mixer,"492,545"
Xerox,Pzs-6UnsPJw,youtube,xerox.jpg,COMMERCIAL,Xerox and World-Renowned Authors Set the Page Free in Collaborative Book Project,Sound Mixer,72
Johnnie Walker,4lcwowoTvL8,youtube,johnniewalker.jpg,COMMERCIAL,MarkLives #BrandFocus: Johnnie Walker's Keep Walking South Africa,Sound Mixer,"6,666"
Pretty Detailed,vVsESSph75c,youtube,pretty.jpg,SOCIAL,Rihanna's Hairstylist Breaks Down Her Most Iconic Looks | Pretty Detailed | Allure,Sound Mixer,"238,116"
AXE,227983396,vimeo,axe.jpg,COMMERCIAL,AXE : Spike TV “One Night Only”,Sound Mixer,287
Laura Mercier,BBvkAHJCPzw,youtube,lauramercier.jpg,COMMERCIAL,How to Apply Pure Canvas Primers | Laura Mercier,Sound Mixer,"19,712"
T-Mobile,jaoS3TFqDnI,youtube,tmobile.jpg,COMMERCIAL,DIGITS is ready for customers! | T-Mobile,Sound Mixer,"68,738"
Etsy,vkPqRIfL1ho,youtube,etsy.jpg,COMMERCIAL,Making Holiday Magic: Increase Your Etsy Sales With These Seller Tips,Sound Mixer,"42,808"
BCRF,qvqEbCrB5D0,youtube,bcrf.jpg,COMMERCIAL,Research Is the Reason 2019,Sound Mixer,"1,293"
Rakuten,374963854,vimeo,rakuten.jpg,COMMERCIAL,A+E Rakuten Xmas 2019,Sound Mixer,70
EY,xyRDZWxBNPo,youtube,ey.jpg,COMMERCIAL,Meet Brett,Sound Mixer,"7,672"
True Teeth,519523229,vimeo,true.jpg,COMMERCIAL,True Teeth,Sound Mixer,12
One Love,OFYkslIiHmI,youtube,onelove.jpg,COMMERCIAL,#LoveBetter,Sound Mixer,"61,567"
Complex,Ks66IcQK-Jc,youtube,complex.jpg,TV & FILM,"Famous Dex Opens Up Plus Rico Nasty, La La Anthony & Jess Hilarious | Open Late with Peter Rosenberg",Sound Mixer,"153,748"
Vogue,358370936,vimeo,vogue1.jpg,COMMERCIAL,One Night in Vogue starring Teyana Taylor & Iman Shumpert (Director’s Cut),Sound Mixer,296
Sunset Park,m6vjKL9aiK4,youtube,sunset.jpg,TV & FILM,[NEW] Sunset Park (2017) Starring Michael Trevino,Sound Editor,"13,947"
Allure,t4vMuinr50Q,youtube,allure.jpg,SOCIAL,I Took a Bath in Red Wine For Science | Beauty Haus With Sable | Allure,Sound Mixer,"28,478"
Dove,bSKRN3w0m1w,youtube,dove.jpg,COMMERCIAL,Dove Love Your Curls,Boom Op,"16,103"
Audible,264503259,vimeo,audible.jpg,COMMERCIAL,Audible - Alexa Moments,Sound Mixer,1575
Rihanna Secret Show,499203979,vimeo,rihanna.jpg,TV & FILM,RIHANNA SECRET SHOW,Sound Mixer,336
Vogue X H&M,209432689,vimeo,vogue.jpg,COMMERCIAL,Vogue | All In A Night - H&M,Sound Mixer & Voiceover,12
Milk Makeup,ttbH775Oy5A,youtube,milk.jpg,COMMERCIAL,"Milk Makeup Looks - ""Sonic""",Sound Mixer,"749,921"
GQ X Amex,X9Rsa_se_qs,youtube,amex.jpg,COMMERCIAL,The Post-Vacation Detox | Good As Gold Presented By American Express,Sound Mixer,"318,952"
DRAM,LiJZlYqQPw0,youtube,dram.jpg,MUSIC,DRAM - Google Play Live at the Milk Jam Room,Sound Mixer,"105,930"
Google Play Music,hQfKtU2WROs,youtube,google.jpg,MUSIC,Empress Of: Google Play Live at The Milk Jam Room,Audio Engineer,"8,046"
Johnson & Johnson,W-OSoQr8_9s,youtube,johnson.jpg,COMMERCIAL,"An Interview with Dr. Paul Stoffels, Chief Scientific Officer of Johnson & Johnson",Sound Mixer,"5,741"
Berenice,qL5I-2pPghc,youtube,berenice.jpg,TV & FILM,"Edgar Allan Poe's ""Berenice"" - TRAILER",Sound Mixer,"20,461"
